frame,det,da,lane,w_det,w_da,w_lane
b1f6c103-b00e8aad,0,0,2,0.25,0.25,1.0
b1f85377-44885085,1,0,2,0.5,0.25,1.0
b1fbaab8-68db7df7,1,1,1,0.5,0.5,0.5
b1fbf878-b31a8293,0,0,0,0.25,0.25,0.25
b1fc95c9-644e3c3f,1,1,0,0.5,0.5,0.25
b1fc95c9-cb2882c7,0,1,0,0.25,0.5,0.25
b1ff4656-0435391e,0,0,0,0.25,0.25,0.25
b1ff4656-94ee8536,1,2,0,0.5,1.0,0.25
b1ff4656-ebcfeb35,0,2,0,0.25,1.0,0.25
b200b84e-4a792877,0,1,0,0.25,0.5,0.25
b200e97a-bf074435,2,0,2,1.0,0.25,1.0
b20234fd-822029be,1,2,1,0.5,1.0,0.5
b202cae2-672e61c5,1,1,1,0.5,0.5,0.5
b202cae2-f46c74a6,0,1,0,0.25,0.5,0.25
b2036451-aa924fd1,0,2,1,0.25,1.0,0.5
b2046bcf-8bc6a044,1,2,0,0.5,1.0,0.25
b204a5c1-05981158,0,0,1,0.25,0.25,0.5
b204a5c1-064b0040,2,0,0,1.0,0.25,0.25
b204a5c1-fa3d5b88,0,1,2,0.25,0.5,1.0
b205eb4d-f84aaa1a,0,0,1,0.25,0.25,0.5
b2064e61-2beadd45,0,0,1,0.25,0.25,0.5
b206a78b-99f405ab,0,1,2,0.25,0.5,1.0
b2080dc7-f9b98a5f,2,2,2,1.0,1.0,1.0
b20841f9-cef732d5,2,0,2,1.0,0.25,1.0
b20b1e63-4d8478a4,1,0,2,0.5,0.25,1.0
b20b69d2-64b9cdb8,2,0,1,1.0,0.25,0.5
b20b69d2-650e674d,2,1,1,1.0,0.5,0.5
b20b69d2-6e2b9e73,1,1,1,0.5,0.5,0.5
b20b69d2-7767e6b6,2,2,2,1.0,1.0,1.0
b20b69d2-bd242bf0,0,0,0,0.25,0.25,0.25
b20b69d2-ca16c907,2,2,0,1.0,1.0,0.25
b20b69d2-e31380a7,2,1,1,1.0,0.5,0.5
b20b69d2-ffc1d6af,2,0,2,1.0,0.25,1.0
b20b9c19-91e01a50,2,0,0,1.0,0.25,0.25
b20d494a-cdebe83e,1,2,1,0.5,1.0,0.5
b20e291a-32ac11c1,2,1,1,1.0,0.5,0.5
b20e291a-6012d836,1,0,2,0.5,0.25,1.0
b20eae11-149766ce,1,2,2,0.5,1.0,1.0
b20eae11-18cd8ca2,1,0,2,0.5,0.25,1.0
b20eae11-6817ba7a,0,0,2,0.25,0.25,1.0
b20ff95c-b9444127,2,1,2,1.0,0.5,1.0
b2102d00-5eb86b71,1,0,0,0.5,0.25,0.25
b2102d00-a8c09be1,0,0,1,0.25,0.25,0.5
b2131b7b-e58faab7,1,1,2,0.5,0.5,1.0
b213e4eb-09c01a17,1,1,1,0.5,0.5,0.5
b214d1e1-f248c616,1,1,0,0.5,0.5,0.25
b21547c1-73e457f8,0,2,2,0.25,1.0,1.0
b21547c1-796757ac,2,2,0,1.0,1.0,0.25
b2156f8e-72e1547c,0,1,2,0.25,0.5,1.0
b215943a-10e44587,1,0,1,0.5,0.25,0.5
b216243d-55963da2,1,1,2,0.5,0.5,1.0
b216243d-ad4306b9,2,0,1,1.0,0.25,0.5
b2169b74-fa197951,2,2,0,1.0,1.0,0.25
b21742c2-0e7a2b57,2,0,2,1.0,0.25,1.0
b21742c2-18d3463a,0,2,0,0.25,1.0,0.25
b2194b15-1825056a,1,0,1,0.5,0.25,0.5
b21ac8b3-9b9cb45a,1,2,2,0.5,1.0,1.0
b21bfb83-ea32f716,2,1,0,1.0,0.5,0.25
b21c68e6-65674a17,2,2,2,1.0,1.0,1.0
b21c86ac-0dc77d82,0,0,2,0.25,0.25,1.0
b21c86ac-2eb7ba16,1,0,2,0.5,0.25,1.0
b21c86ac-71205084,0,1,2,0.25,0.5,1.0
b21d5efb-5e2cd743,2,0,2,1.0,0.25,1.0
b2208b0f-2796a692,2,0,0,1.0,0.25,0.25
b222c329-5dc8dbf7,1,1,0,0.5,0.5,0.25
b229488e-e4714bb7,1,0,1,0.5,0.25,0.5
b22a4d9f-48b2e986,0,1,1,0.25,0.5,0.5
b22a4d9f-73cc8810,1,2,0,0.5,1.0,0.25
b22e02cd-6af68e18,1,0,2,0.5,0.25,1.0
b22f174d-a19c875e,1,2,0,0.5,1.0,0.25
b22f385b-5d7e5202,2,2,2,1.0,1.0,1.0
b230132b-ff8f2719,1,2,0,0.5,1.0,0.25
b230a7b2-c881c382,0,0,0,0.25,0.25,0.25
b231a630-c4522992,2,1,1,1.0,0.5,0.5
b232c7c9-d251d9ee,0,0,1,0.25,0.25,0.5
b2331b83-648e56ca,1,1,1,0.5,0.5,0.5
b2331b83-a28e6b57,1,0,0,0.5,0.25,0.25
b23493b1-3200de1c,2,2,0,1.0,1.0,0.25
b237db93-fab44bf2,1,0,1,0.5,0.25,0.5
b23a79d1-43dfeecd,1,1,2,0.5,0.5,1.0
b23a79d1-e434acaa,2,2,0,1.0,1.0,0.25
b23adb0d-72704b27,0,1,2,0.25,0.5,1.0
b23adb0d-8a7aaced,0,0,1,0.25,0.25,0.5
b23b2649-1a78948d,0,1,2,0.25,0.5,1.0
b23b2649-6af03cd5,0,1,1,0.25,0.5,0.5
b23b2649-8349d2a1,2,1,0,1.0,0.5,0.25
b23bb45f-ddeea1d8,1,0,1,0.5,0.25,0.5
b23c9e00-5506ddfb,1,2,1,0.5,1.0,0.5
b23c9e00-b425de1b,0,1,0,0.25,0.5,0.25
b23d2079-0c019d8e,0,0,1,0.25,0.25,0.5
b23f7012-32d284ce,2,0,0,1.0,0.25,0.25
b23f7012-fab06dac,1,1,2,0.5,0.5,1.0
b23fe89b-c704fe97,2,0,1,1.0,0.25,0.5
b24071b8-b3ee1196,2,1,2,1.0,0.5,1.0
b2408e45-984ba5aa,0,1,1,0.25,0.5,0.5
b242929f-3051abca,2,0,0,1.0,0.25,0.25
b242f6b2-0033bdfb,2,0,1,1.0,0.25,0.5
b242f6b2-99d2f2c1,1,0,1,0.5,0.25,0.5
b242f6b2-eaa39345,2,1,2,1.0,0.5,1.0
b242f6b2-f5da110f,1,1,2,0.5,0.5,1.0
b24380ab-63272e5a,1,2,1,0.5,1.0,0.5
b24380ab-6dbeb908,0,0,0,0.25,0.25,0.25
b24380ab-855e9c00,0,1,0,0.25,0.5,0.25
b24380ab-c07680d1,1,1,1,0.5,0.5,0.5
b2443c9d-8cc3991f,1,1,0,0.5,0.5,0.25
b245b306-ca3dca4e,1,2,0,0.5,1.0,0.25
b245e52e-0a0e4e69,1,1,0,0.5,0.5,0.25
b245e52e-aaeeb959,1,0,0,0.5,0.25,0.25
b246c8e8-3dd42e6c,1,2,1,0.5,1.0,0.5
b246c8e8-4dd36bfc,2,1,1,1.0,0.5,0.5
b246c8e8-ecce1321,1,1,0,0.5,0.5,0.25
b24702e3-0456c83c,2,0,1,1.0,0.25,0.5
b24702e3-900f61ea,2,2,1,1.0,1.0,0.5
b24702e3-e6f33768,2,1,1,1.0,0.5,0.5
b24702e3-f56e0731,0,0,1,0.25,0.25,0.5
b24702e3-fe617f57,2,1,0,1.0,0.5,0.25
b248306f-a5089e94,0,2,2,0.25,1.0,1.0
b2490dcb-7469cbe8,0,0,0,0.25,0.25,0.25
b249e7f2-92d2efad,1,0,1,0.5,0.25,0.5
b249e7f2-d619bd69,1,2,1,0.5,1.0,0.5
b24b3585-221ac8ac,0,0,1,0.25,0.25,0.5
b24bdca1-e4f0c558,2,0,0,1.0,0.25,0.25
b24c9ee6-e43a6e8b,1,1,2,0.5,0.5,1.0
b24ca67a-594d7d3c,2,2,1,1.0,1.0,0.5
b24d283f-33783d1b,0,2,0,0.25,1.0,0.25
b24f03f7-ff66eaca,0,0,0,0.25,0.25,0.25
b24f7455-e8c55d6a,1,1,0,0.5,0.5,0.25
b2505382-1423f56a,1,1,1,0.5,0.5,0.5
b2505382-272e7823,0,2,1,0.25,1.0,0.5
b2505382-2905b23c,1,1,1,0.5,0.5,0.5
b2505382-549785d3,1,2,0,0.5,1.0,0.25
b2505382-de5238f0,0,2,1,0.25,1.0,0.5
b250fb0c-01a1b8d3,1,1,1,0.5,0.5,0.5
b251064f-30002542,1,0,1,0.5,0.25,0.5
b251064f-4696b75e,0,2,0,0.25,1.0,0.25
b251064f-5f6b663e,0,0,2,0.25,0.25,1.0
b251064f-8d92db81,1,1,2,0.5,0.5,1.0
b251064f-e7a165fd,0,0,2,0.25,0.25,1.0
b251b746-00138418,1,0,1,0.5,0.25,0.5
b255cd6c-0bdf0ac7,0,1,1,0.25,0.5,0.5
b255cd6c-2f889586,0,2,1,0.25,1.0,0.5
b255cd6c-5ccba454,2,0,0,1.0,0.25,0.25
b255cd6c-6502a28c,2,0,2,1.0,0.25,1.0
b255cd6c-82c804d4,0,2,0,0.25,1.0,0.25
b255cd6c-bc3cbb18,0,0,2,0.25,0.25,1.0
b255cd6c-e5f99451,2,2,2,1.0,1.0,1.0
b255cd6c-f2f28aff,0,1,1,0.25,0.5,0.5
b255cd6c-fb594dcb,0,2,1,0.25,1.0,0.5
b2576c8c-2924c365,0,0,2,0.25,0.25,1.0
b2576c8c-2de20b8a,0,1,2,0.25,0.5,1.0
b257f482-cf55d35c,1,0,2,0.5,0.25,1.0
b258a38b-0126cc8c,1,1,2,0.5,0.5,1.0
b258d359-49a3ad31,0,0,2,0.25,0.25,1.0
b258d359-db99eff1,0,1,2,0.25,0.5,1.0
b259c5e1-cda39ef9,0,2,1,0.25,1.0,0.5
b25aac57-705d50ad,2,1,1,1.0,0.5,0.5
b25ae6c0-311e72c2,2,0,0,1.0,0.25,0.25
b25ae6c0-fb9fea6a,1,0,2,0.5,0.25,1.0
b25c1103-5da4b435,0,0,0,0.25,0.25,0.25
b25c51f5-e9dba941,2,1,2,1.0,0.5,1.0
b25fb716-78d8d49b,2,1,1,1.0,0.5,0.5
b25fd5d3-fa4bfca0,2,0,1,1.0,0.25,0.5
b25fdb41-4644e3f7,1,2,1,0.5,1.0,0.5
b262f576-b0373824,0,1,1,0.25,0.5,0.5
b26309ce-447c0ac7,2,2,0,1.0,1.0,0.25
b26309ce-fc963b47,2,0,1,1.0,0.25,0.5
b26327fe-3ac19999,2,0,1,1.0,0.25,0.5
b26331b9-102f5d9a,2,2,1,1.0,1.0,0.5
b2638d82-062aa1de,1,2,2,0.5,1.0,1.0
b263f57d-1ccf6e51,0,1,1,0.25,0.5,0.5
b2648a7f-42f72f67,0,2,0,0.25,1.0,0.25
b265b9cf-2d517da6,1,1,1,0.5,0.5,0.5
b26610ce-083c3bd1,0,2,0,0.25,1.0,0.25
b266429a-83757042,2,0,1,1.0,0.25,0.5
b266429a-ac0c4ed3,1,1,1,0.5,0.5,0.5
b266db29-12bf52fa,2,0,0,1.0,0.25,0.25
b266db29-29fa8335,2,0,1,1.0,0.25,0.5
b266db29-403143cc,2,0,2,1.0,0.25,1.0
b266db29-4d22b355,0,0,2,0.25,0.25,1.0
b266db29-c518f15d,0,1,0,0.25,0.5,0.25
b266db29-da0abce7,0,1,1,0.25,0.5,0.5
b2675b13-d04e4a76,2,2,0,1.0,1.0,0.25
b268bb58-5ead8a56,0,0,0,0.25,0.25,0.25
b2694461-db4f4470,0,0,1,0.25,0.25,0.5
b26aafd1-1bc4dccc,0,0,1,0.25,0.25,0.5
b26aafd1-513824d4,1,2,1,0.5,1.0,0.5
b26ba07a-1c7593b1,0,1,0,0.25,0.5,0.25
b26ba07a-203e440c,0,2,0,0.25,1.0,0.25
b26ba07a-2b68a502,2,2,0,1.0,1.0,0.25
b26ba07a-38f78442,1,1,0,0.5,0.5,0.25
b26ba07a-c7bcbe2d,0,2,0,0.25,1.0,0.25
b26ba07a-da78f324,2,2,2,1.0,1.0,1.0
b26ba07a-e4ca935c,2,1,1,1.0,0.5,0.5
b26ba07a-f781b661,0,1,0,0.25,0.5,0.25
b26cfcdc-10346684,2,0,1,1.0,0.25,0.5
b26cfcdc-2e290c42,1,0,0,0.5,0.25,0.25
b26cfcdc-7b00747d,0,0,1,0.25,0.25,0.5
b26cfcdc-eb092da8,2,1,2,1.0,0.5,1.0
b26dd913-2888cbfd,0,1,0,0.25,0.5,0.25
b26dddb5-28e4a05f,0,1,1,0.25,0.5,0.5
b26f7271-d906ee87,2,2,1,1.0,1.0,0.5
b26f8762-61cfb033,0,2,1,0.25,1.0,0.5
b26f9b1e-09c56a3c,0,0,1,0.25,0.25,0.5
b26f9b1e-3e172ced,2,1,0,1.0,0.5,0.25
b27098c3-0db780d5,0,0,1,0.25,0.25,0.5
b27098c3-915a9986,2,1,2,1.0,0.5,1.0
b27098c3-c443b6e3,2,2,1,1.0,1.0,0.5
b27098c3-dedf92b2,1,2,1,0.5,1.0,0.5
b270d8e4-0f565398,0,1,2,0.25,0.5,1.0
b27127df-eac9b95e,1,0,2,0.5,0.25,1.0
b2714f5d-07bf604c,0,2,1,0.25,1.0,0.5
b2714f5d-5bc98e55,0,0,0,0.25,0.25,0.25
b2715214-13e3dd85,0,1,2,0.25,0.5,1.0
b2715214-d38332ea,0,0,1,0.25,0.25,0.5
b27369f3-9b9598f4,2,1,0,1.0,0.5,0.25
b27369f3-dd3c0b46,0,0,0,0.25,0.25,0.25
b2743b5d-e2d585be,2,0,2,1.0,0.25,1.0
b2752cd6-12ba5588,1,2,1,0.5,1.0,0.5
b275c028-6a0665cb,1,1,2,0.5,0.5,1.0
b27688b6-1af27060,1,2,0,0.5,1.0,0.25
b27688b6-cd521517,2,0,0,1.0,0.25,0.25
b2778280-4179c4af,2,0,2,1.0,0.25,1.0
b277a772-08d8d7ad,1,2,1,0.5,1.0,0.5
b277a772-715e949c,1,1,2,0.5,0.5,1.0
b277a772-848f75a9,1,2,1,0.5,1.0,0.5
b277a772-87c10d5c,0,2,0,0.25,1.0,0.25
b2794401-ba7d3c05,2,0,1,1.0,0.25,0.5
b279bc06-3c8aeb90,1,1,2,0.5,0.5,1.0
b279bc06-4fa57251,2,1,1,1.0,0.5,0.5
b279bc06-b7bc42a9,1,1,2,0.5,0.5,1.0
b27b0cd9-f184d9a3,2,0,1,1.0,0.25,0.5
b27cd403-d7616bfa,1,2,1,0.5,1.0,0.5
b27cd403-f2d087cc,0,2,1,0.25,1.0,0.5
b27cde22-56abd0e1,2,0,0,1.0,0.25,0.25
b27d5dcb-5bdec286,0,1,2,0.25,0.5,1.0
b27d5dcb-856c0b43,1,1,0,0.5,0.5,0.25
b27d5dcb-9230790c,0,0,2,0.25,0.25,1.0
b27e8b69-c00092ae,0,0,1,0.25,0.25,0.5
b27fdbad-ab895d86,0,2,2,0.25,1.0,1.0
b27fdbad-ae939e31,2,1,1,1.0,0.5,0.5
b280c9c1-4340305f,1,0,0,0.5,0.25,0.25
b280c9c1-a75d23e5,2,0,2,1.0,0.25,1.0
b2828509-133b042d,1,2,0,0.5,1.0,0.25
b2828509-682cd3b2,0,0,0,0.25,0.25,0.25
b2828509-8e8fa55f,0,2,0,0.25,1.0,0.25
b284c0e8-85fbc42a,0,0,0,0.25,0.25,0.25
b284c0e8-b813f3cf,2,2,1,1.0,1.0,0.5
b285698b-ff1293ce,2,1,1,1.0,0.5,0.5
b2860d72-0b43e851,1,1,0,0.5,0.5,0.25
b289f2e8-cec8700d,1,2,0,0.5,1.0,0.25
b28aac6c-9f1b99cb,1,1,1,0.5,0.5,0.5
b28cb5d3-2cf728ac,2,0,1,1.0,0.25,0.5
b28cb5d3-9ff4ab4a,0,0,0,0.25,0.25,0.25
b28cb5d3-c4758dfd,0,2,2,0.25,1.0,1.0
b28cb5d3-f800ecd2,2,1,2,1.0,0.5,1.0
b28cfc9b-224431ab,0,2,0,0.25,1.0,0.25
b28ec521-69495052,2,1,0,1.0,0.5,0.25
b28ec521-8266e1a4,1,1,1,0.5,0.5,0.5
b28ec521-834a964c,0,1,1,0.25,0.5,0.5
b28ec521-898e11bd,0,1,1,0.25,0.5,0.5
b28f288b-784f7606,2,1,2,1.0,0.5,1.0
b28fc734-5add25db,0,1,2,0.25,0.5,1.0
b29026f0-d5a5ee8c,1,0,2,0.5,0.25,1.0
b291cfd6-a46efbcc,2,0,0,1.0,0.25,0.25
b291cfd6-a6275049,1,0,1,0.5,0.25,0.5
b291cfd6-ff98ba56,1,0,0,0.5,0.25,0.25
b29273b2-339a1500,0,1,0,0.25,0.5,0.25
b2932832-a2c8f6ef,1,2,2,0.5,1.0,1.0
b2932832-df9384eb,1,2,0,0.5,1.0,0.25
b2933acb-1e0c16cc,0,2,1,0.25,1.0,0.5
b2933acb-e890758f,2,1,1,1.0,0.5,0.5
b29377e0-83e8340a,2,0,2,1.0,0.25,1.0
b2939bf0-221e1dfb,1,2,1,0.5,1.0,0.5
b294386c-24ddd0c3,1,1,1,0.5,0.5,0.5
b29511e5-0e7c7013,0,1,1,0.25,0.5,0.5
b2965b06-88a1da19,0,2,1,0.25,1.0,0.5
b29806ee-7194648d,1,2,2,0.5,1.0,1.0
b29806ee-ac06730f,0,1,0,0.25,0.5,0.25
b29806ee-e89a39a6,1,0,1,0.5,0.25,0.5
b29c2372-b53a797c,1,2,2,0.5,1.0,1.0
b29c5efd-754ba560,0,1,1,0.25,0.5,0.5
b29f09ea-911177ce,0,1,0,0.25,0.5,0.25
b29f09ea-ecd5304b,1,1,1,0.5,0.5,0.5
b29f7159-219cf764,0,1,2,0.25,0.5,1.0
b29f9214-4846c10c,1,0,0,0.5,0.25,0.25
b2a0648b-d8e126bc,0,0,2,0.25,0.25,1.0
b2a0dbe8-85f1894e,1,0,2,0.5,0.25,1.0
b2a1e013-638d6e4d,2,1,0,1.0,0.5,0.25
b2a1e172-a969db88,2,2,0,1.0,1.0,0.25
b2a46c1e-87aac2ec,2,1,0,1.0,0.5,0.25
b2a4738f-1c4a1373,0,0,2,0.25,0.25,1.0
b2a4bc4d-6f7c1727,2,2,0,1.0,1.0,0.25
b2a4bc4d-b251ccb1,1,2,0,0.5,1.0,0.25
b2a5baf7-58519386,0,1,0,0.25,0.5,0.25
b2a60634-0817a6eb,2,2,0,1.0,1.0,0.25
b2a60634-40847419,1,1,2,0.5,0.5,1.0
b2a60634-6e9f96fe,1,2,0,0.5,1.0,0.25
b2a60634-ad36f179,1,0,2,0.5,0.25,1.0
b2a8e8b4-50058f09,1,2,0,0.5,1.0,0.25
b2a8e8b4-a4e93829,2,1,2,1.0,0.5,1.0
b2a99ee3-5abca703,0,2,2,0.25,1.0,1.0
b2a9d547-f7f6fa92,2,1,1,1.0,0.5,0.5
b2ae0446-4b0bfda7,0,2,1,0.25,1.0,0.5
b2ae0446-f456c162,1,0,1,0.5,0.25,0.5
b2ae4fc5-3abd5802,1,1,1,0.5,0.5,0.5
b2ae4fc5-d1082ddf,0,0,0,0.25,0.25,0.25
b2aefccb-24d289a9,2,0,1,1.0,0.25,0.5
b2afce7f-0cb9967a,0,1,1,0.25,0.5,0.5
b2b03a01-a60e895f,2,1,2,1.0,0.5,1.0
b2b2f563-ec318c61,0,2,2,0.25,1.0,1.0
b2b32394-e46669cb,0,1,1,0.25,0.5,0.5
b2b70230-bad4ff6e,2,2,1,1.0,1.0,0.5
b2b70230-c43553a9,0,1,1,0.25,0.5,0.5
b2b74321-f6578001,0,2,1,0.25,1.0,0.5
b2bc4efb-a184131d,2,1,0,1.0,0.5,0.25
b2bceb54-0b1f3332,1,0,0,0.5,0.25,0.25
b2bceb54-4d3cc92c,0,1,1,0.25,0.5,0.5
b2bdb7b6-041bebc9,2,2,1,1.0,1.0,0.5
b2bdb7b6-137acb11,1,2,1,0.5,1.0,0.5
b2bdb7b6-3e75222e,0,2,1,0.25,1.0,0.5
b2bdb7b6-602437cb,0,2,1,0.25,1.0,0.5
b2bdb7b6-d34fab57,2,1,2,1.0,0.5,1.0
b2bdc7e5-b4ebc5bd,0,1,1,0.25,0.5,0.5
b2be7200-b6f7fe0a,2,2,1,1.0,1.0,0.5
b2bee3e1-80c787bd,0,1,0,0.25,0.5,0.25
b2bee3e1-915eb541,0,2,0,0.25,1.0,0.25
b2bf0e03-a07f0a81,0,1,1,0.25,0.5,0.5
b2bf0e03-a3921cd6,0,2,0,0.25,1.0,0.25
b2c0e5c1-9666ba7e,2,2,1,1.0,1.0,0.5
b2c23864-810e4e1d,1,0,1,0.5,0.25,0.5
b2c2f563-02143de0,0,1,0,0.25,0.5,0.25
b2c5110e-09e459e9,2,0,1,1.0,0.25,0.5
b2c5110e-ef7e4997,1,1,1,0.5,0.5,0.5
b2c542e3-02f579a6,1,2,0,0.5,1.0,0.25
b2c7d048-fdd059eb,0,2,0,0.25,1.0,0.25
b2c7ebc4-731ea908,1,0,2,0.5,0.25,1.0
b2c88d3b-1c1ad881,1,1,2,0.5,0.5,1.0
b2c9b221-d447dcc3,2,1,2,1.0,0.5,1.0
b2cac490-b27b82da,1,2,0,0.5,1.0,0.25
b2cbf6d8-732b47be,1,2,1,0.5,1.0,0.5
b2cce432-e17e840e,0,1,2,0.25,0.5,1.0
b2cd33bd-a5043d29,1,2,2,0.5,1.0,1.0
b2cda443-f7cb5ccf,1,1,2,0.5,0.5,1.0
b2cf78ec-6043f571,1,2,0,0.5,1.0,0.25
b2d22b2f-8302eb61,0,0,0,0.25,0.25,0.25
b2d22b2f-91d0af18,1,1,0,0.5,0.5,0.25
b2d3510a-659ae4de,2,0,1,1.0,0.25,0.5
b2d49c0c-e888f874,2,1,2,1.0,0.5,1.0
b2d4c878-2267ca6d,2,1,0,1.0,0.5,0.25
